TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
d000593,41,남,20,6,1,1,1,3,,4,,3,1,42,42730,48,48840,11,11620,1,1,1,2,1,4,2,3,경기도,제주,부모 동반 여행,2022-08-26~2022-08-29,1,3,,2
c005242,46,여,30,5,1,2,2,11,,1,4,2,1,46,46150,46,46130,46,46770,2,7,1,1,5,7,6,7,전라남도,전남,2인 가족 여행,2022-10-02~2022-10-02,3,1,10,1
b004278,27,여,40,6,1,2,3,3,,6,10,2,1,42,42150,26,26350,50,50130,2,2,2,2,2,1,6,2,서울특별시,경남,3인 이상 여행(가족 외),2022-09-24~2022-09-25,7,1,,2
d005210,50,여,40,6,1,2,2,11,,2,5,1,2,11,11110,50,50130,46,46710,5,4,1,3,2,3,3,4,제주특별자치도,제주,나홀로 여행,2022-10-15~2022-10-15,1,7,,0
c001122,11,남,30,4,1,1,4,6,,5,10,3,5,50,50110,42,42210,48,48310,1,3,1,4,5,1,5,5,서울특별시,전남,2인 여행(가족 외),2022-08-20~2022-08-21,3,2,1,1
d000063,41,남,40,7,1,2,4,2,,10,12,3,8,50,50110,42,42210,48,48840,2,2,2,4,4,2,4,5,경기도,제주,자녀 동반 여행,2022-08-06~2022-08-10,7,1,3,3
d012302,50,여,60,8,5,2,2,6,,3,5,3,4,11,11110,50,50110,50,50130,2,6,2,2,5,6,4,6,제주특별자치도,제주,나홀로 여행,2022-11-11~2022-11-11,4,,,0
d012475,50,여,30,7,1,1,1,3,,3,,2,1,50,50110,50,50130,11,11440,4,4,4,3,4,3,5,4,제주특별자치도,제주,나홀로 여행,2022-11-09~2022-11-09,1,7,2,0
d002267,44,여,40,6,1,2,2,13,,3,8,2,2,42,42170,45,45110,50,50130,1,5,4,5,2,4,5,2,충청남도,제주,2인 가족 여행,2022-10-06~2022-10-10,6,7,3,1
d000482,11,여,40,6,1,1,1,3,,6,,2,1,50,50130,42,42150,26,26350,4,2,3,3,4,2,1,6,서울특별시,제주,3인 이상 여행(가족 외),2022-08-27~2022-08-31,1,2,3,4
